Product name,Product cost,Product image link,Product URL,Product ID,Product available,Product shops
"","","",https://oz.by/chocolate/more101076578.html,"","",""
"","","",https://oz.by/chocolate/more101048637.html,"","",""
"","","",https://oz.by/chocolate/more10918537.html,"","",""
"","","",https://oz.by/chocolate/more10737175.html,"","",""
"","","",https://oz.by/chocolate/more10991489.html,"","",""
"","","",https://oz.by/chocolate/more10823934.html,"","",""
"","","",https://oz.by/chocolate/more101076585.html,"","",""
"","","",https://oz.by/chocolate/more10991498.html,"","",""
"","","",https://oz.by/chocolate/more101048640.html,"","",""
"","","",https://oz.by/chocolate/more101052426.html,"","",""
"","","",https://oz.by/chocolate/more10991185.html,"","",""
"","","",https://oz.by/chocolate/more101053354.html,"","",""
"","","",https://oz.by/chocolate/more101068815.html,"","",""
"","","",https://oz.by/chocolate/more10984480.html,"","",""
"Шоколад овсяный ""С миндалём"" (65 г)","6,95 руб.",https://s4-goods.ozstatic.by/480/216/112/101/101112216_0_Shokolad_ovsyaniy_S_mindalem_65_g.jpg,https://oz.by/chocolate/more101112216.html,№ 101112216,На складе,МинскБарановичиБобруйскБорисовБрестВитебскГомельГродноЖодиноМозырьЛидаМогилевМолодечноОршаОсиповичиПинскПолоцкСолигорск
"","","",https://oz.by/chocolate/more101103192.html,"","",""
"","","",https://oz.by/chocolate/more101013356.html,"","",""
"","","",https://oz.by/chocolate/more101098748.html,"","",""
"","","",https://oz.by/chocolate/more10737205.html,"","",""
"","","",https://oz.by/chocolate/more10737195.html,"","",""
"","","",https://oz.by/chocolate/more101101364.html,"","",""
"","","",https://oz.by/chocolate/more101068814.html,"","",""
"","","",https://oz.by/chocolate/more10737090.html,"","",""
"","","",https://oz.by/chocolate/more10983808.html,"","",""
"","","",https://oz.by/chocolate/more10911574.html,"","",""
"","","",https://oz.by/chocolate/more101021035.html,"","",""
"","","",https://oz.by/chocolate/more101106003.html,"","",""
"","","",https://oz.by/chocolate/more10964802.html,"","",""
"","","",https://oz.by/chocolate/more101069052.html,"","",""
"","","",https://oz.by/chocolate/more101076618.html,"","",""
"","","",https://oz.by/chocolate/more101109761.html,"","",""
"","","",https://oz.by/chocolate/more101062982.html,"","",""
